timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
177365.8430237,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177365.8763749,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177365.9097209,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177365.9430668,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177365.9764094,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177366.009758,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177366.0431052,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177366.0764513,7.062600321027276,-100.0,100.0,18.13417190775681,11.425682507583417
177366.1097942,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.1431367,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.1764782,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.2098287,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.2431744,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.2765216,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.309867,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.3432134,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.3765579,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.4099002,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.443246,6.902086677367578,-100.0,100.0,18.13417190775681,11.425682507583417
177366.4765934,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
177366.5099414,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
177366.5432907,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
177366.5766379,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
177366.6099826,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
177366.6433304,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
177366.6766787,6.902086677367578,-100.0,100.0,18.029350104821802,11.425682507583417
